launch_index,channel_ordinal,ring_entries,slot_index,put_before,put_after,put_delta_mod,changed_slot_count,ring_before_sha256,ring_after_sha256,entry_before_sha256,entry_after_sha256,api_begin_rel_ns,api_end_rel_ns,pre_read_begin_rel_ns,pre_read_end_rel_ns,post_read_begin_rel_ns,post_read_end_rel_ns,no_api_get_values,unique_entry_binding
1,1,1024,1023,1023,0,1,1,e65415df495281d748ff9c264a6ee6301678212638033347b64ae4ba254c09b3,15cf89c1e205ce90bdaafefc5a6603c07a1eb92294daf79dd7d5b126a022623f,af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc,809227935bf9d8a8e8dac386bd7cb7dd373ea845fd46b49219015341e0241d61,0,7974,-3194663,-85159,9117,3416581,0,True
2,1,1024,0,0,1,1,1,15cf89c1e205ce90bdaafefc5a6603c07a1eb92294daf79dd7d5b126a022623f,df6a8c1f90be21262a11431ae2bdce202f4cce9febd0100014935b96948fc2ad,60658be89fd6362d37844e9ce4ebfd90ba82a0e0b1697772775e9207ae31bd49,4c16504ff1b25b5d5dceb82e6433a9953f740f0730e2efc1fd379976dd53ff00,11697688,11705061,8507741,11612831,11706053,14806771,1,True
