experiment,condition,trial,order,status,valid,target_ms,iterations,reference_a_ms,a_event_ms,a_effective_gflops,b_event_ms,invalidate_delay_ms,a_pending_before_destroy,destroy_result,cpu_a,cpu_b,cpu_control,t_A_launch_ns,t_A_launch_return_ns,t_A_start_observed_ns,A_start_gpu_ns,t_invalidate_ns,t_invalidate_seen_ns,t_A_query_begin_ns,t_A_query_end_ns,t_destroy_begin_ns,t_destroy_return_ns,t_B_ready_ns,t_B_trigger_seen_ns,t_B_launch_ns,t_B_launch_return_ns,t_B_complete_ns,invalidate_dispatch_us,destroy_latency_us,invalidate_to_destroy_return_us,handoff_us,b_launch_api_us,b_request_us,b_takeover_us,B_start_gpu_ns,B_end_gpu_ns,t_B_start_est_ns,t_B_start_lower_ns,t_B_start_upper_ns,clock_bracket_ns,clock_offset_change_ns,start_est_valid
takeover,wait-then-destroy,2,1,ok,1,10,1857,9.9727363586425781,nan,nan,0.0092160003259778023,1,1,0,0,1,2,4238070715980576,4238070715983785,4238070716187170,1790059446832837632,4238070717187633,4238070717187844,4238070717187883,4238070717188644,4238070723349681,4238070808461074,4238070715975200,4238070808461652,4238070808463672,4238070808466802,4238070808607144,0.21099999999999999,85111.392999999996,91273.441000000006,2.5979999999999999,3.1299999999999999,143.47200000000001,91419.510999999999,1790059446925251584,1790059446925251584,4238070808597423.5,4238070808588937,4238070808605910,15340,1804.5,1
takeover,b_with_idle_a,3,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4238070951402263,4238070951409736,4238070951616131,nan,nan,nan,nan,7.4729999999999999,213.86799999999999,nan,1790059447068258304,1790059447068258304,nan,nan,nan,nan,nan,0
takeover,wait-then-destroy,3,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.0092160003259778023,1,1,0,0,1,2,4238070951926372,4238070951929142,4238070952132281,1790059447068778496,4238070953132635,4238070953132980,4238070953133012,4238070953133712,4238070959295735,4238071045034239,4238070951917146,4238071045034790,4238071045037891,4238071045044175,4238071045181688,0.34499999999999997,85738.504000000001,91901.604000000007,3.6520000000000001,6.2839999999999998,143.797,92049.053,1790059447161821184,1790059447161821184,4238071045171396,4238071045162974,4238071045179818,15617,1544.5,1
takeover,b_with_idle_a,3,1,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4238071189357381,4238071189365427,4238071189571300,nan,nan,nan,nan,8.0459999999999994,213.91900000000001,nan,1790059447306208256,1790059447306208256,nan,nan,nan,nan,nan,0
takeover,destroy,3,1,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,1,1,0,0,1,2,4238071189893981,4238071189896812,4238071190100156,1790059447306741760,4238071191100534,4238071191100971,4238071191101001,4238071191101782,4238071191102349,4238071281898276,4238071189892001,4238071281898907,4238071281900996,4238071281903369,4238071282026503,0.437,90795.926999999996,90797.741999999998,2.7200000000000002,2.3730000000000002,125.50700000000001,90925.968999999997,1790059447398663168,1790059447398663168,4238071282017409,4238071282009220,4238071282025598,15783,1617,1
takeover,b_with_idle_a,4,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4238071413108399,4238071413116400,4238071413295210,nan,nan,nan,nan,8.0009999999999994,186.81100000000001,nan,1790059447529929728,1790059447529929728,nan,nan,nan,nan,nan,0
takeover,destroy,4,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,1,1,0,0,1,2,4238071413786330,4238071413789129,4238071413963419,1790059447530601472,4238071414963683,4238071414964102,4238071414964132,4238071414964856,4238071414965536,4238071496510735,4238071413779959,4238071496511395,4238071496513308,4238071496516345,4238071496639052,0.41899999999999998,81545.198999999993,81547.051999999996,2.573,3.0369999999999999,125.744,81675.369000000006,1790059447613271040,1790059447613271040,4238071496630135,4238071496622748,4238071496637522,13455,1845.5,1
takeover,b_with_idle_a,4,1,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4238071627378908,4238071627386743,4238071627566181,nan,nan,nan,nan,7.835,187.273,nan,1790059447744195584,1790059447744195584,nan,nan,nan,nan,nan,0
takeover,wait-then-destroy,4,1,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,1,1,0,0,1,2,4238071627875013,4238071627877713,4238071628054207,1790059447744688128,4238071629054471,4238071629055000,4238071629055031,4238071629055734,4238071634256541,4238071710657024,4238071627873155,4238071710657521,4238071710659690,4238071710662656,4238071710783703,0.52900000000000003,76400.482999999993,81602.553,2.6659999999999999,2.9660000000000002,124.01300000000001,81729.232000000004,1790059447827411968,1790059447827411968,4238071710774732,4238071710766611,4238071710782853,14523,2128.5,1
takeover,b_with_idle_a,5,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4238071841340473,4238071841348038,4238071841527369,nan,nan,nan,nan,7.5650000000000004,186.89599999999999,nan,1790059447958153216,1790059447958153216,nan,nan,nan,nan,nan,0
takeover,wait-then-destroy,5,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,1,1,0,0,1,2,4238071841837452,4238071841840230,4238071842016862,1790059447958646784,4238071843017162,4238071843017509,4238071843017541,4238071843018259,4238071848218886,4238071925975763,4238071841834478,4238071925976783,4238071925986360,4238071925998527,4238071926111277,0.34699999999999998,77756.876999999993,82958.600999999995,10.597,12.167,124.917,83094.115000000005,1790059448042734592,1790059448042734592,4238071926101558,4238071926093209,4238071926109907,14657,2594.5,1
takeover,b_with_idle_a,5,1,ok,1,10,1857,9.9727363586425781,nan,nan,0.0071680000983178616,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4238072057761030,4238072057769530,4238072057948676,nan,nan,nan,nan,8.5,187.64599999999999,nan,1790059448174569472,1790059448174569472,nan,nan,nan,nan,nan,0
takeover,destroy,5,1,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,1,1,0,0,1,2,4238072058215616,4238072058218423,4238072058394997,1790059448175020032,4238072059395253,4238072059395533,4238072059395563,4238072059396303,4238072059396943,4238072141355615,4238072058209296,4238072141356045,4238072141358322,4238072141361331,4238072141484044,0.28000000000000003,81958.672000000006,81960.361999999994,2.7069999999999999,3.0089999999999999,125.72199999999999,82088.790999999997,1790059448258104320,1790059448258104320,4238072141476358.5,4238072141468977,4238072141483740,13724,1514,1
takeover,b_with_idle_a,6,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4238072272613168,4238072272621037,4238072272798609,nan,nan,nan,nan,7.8689999999999998,185.441,nan,1790059448389415936,1790059448389415936,nan,nan,nan,nan,nan,0
takeover,destroy,6,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.0092160003259778023,1,1,0,0,1,2,4238072273111242,4238072273114012,4238072273288577,1790059448389909504,4238072274288849,4238072274289216,4238072274289304,4238072274290027,4238072274290787,4238072355448716,4238072273109564,4238072355449209,4238072355451339,4238072355453950,4238072355576283,0.36699999999999999,81157.929000000004,81159.866999999998,2.6230000000000002,2.6110000000000002,124.944,81287.433999999994,1790059448472192000,1790059448472192000,4238072355566942,4238072355558924,4238072355574960,14629,1902.5,1
takeover,b_with_idle_a,6,1,ok,1,10,1857,9.9727363586425781,nan,nan,0.0081919999793171883,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4238072485209947,4238072485218175,4238072485395976,nan,nan,nan,nan,8.2279999999999998,186.029,nan,1790059448602008576,1790059448602008576,nan,nan,nan,nan,nan,0
