experiment,condition,trial,order,status,valid,target_ms,iterations,reference_a_ms,a_event_ms,a_effective_gflops,b_event_ms,invalidate_delay_ms,a_pending_before_destroy,destroy_result,cpu_a,cpu_b,cpu_control,t_A_launch_ns,t_A_launch_return_ns,t_A_start_observed_ns,A_start_gpu_ns,t_invalidate_ns,t_invalidate_seen_ns,t_A_query_begin_ns,t_A_query_end_ns,t_destroy_begin_ns,t_destroy_return_ns,t_B_ready_ns,t_B_trigger_seen_ns,t_B_launch_ns,t_B_launch_return_ns,t_B_complete_ns,invalidate_dispatch_us,destroy_latency_us,invalidate_to_destroy_return_us,handoff_us,b_launch_api_us,b_request_us,b_takeover_us,B_start_gpu_ns,B_end_gpu_ns,t_B_start_est_ns,t_B_start_lower_ns,t_B_start_upper_ns,clock_bracket_ns,clock_offset_change_ns,start_est_valid,invalidate_to_b_launch_us,invalidate_to_b_gpu_start_est_us,invalidate_to_b_gpu_start_lower_us,invalidate_to_b_gpu_start_upper_us,a_pending_after_invalidate,a_event_pending_after_b_complete,a_context_alive_after_b_complete,t_A_post_B_query_begin_ns,t_A_post_B_query_end_ns,t_A_complete_observed_ns,a_launch_seq,b_launch_seq
calibration,a_with_idle_b,0,0,ok,1,100,28417,99.689468383789062,99.689468383789062,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
live-handoff,live-handoff,0,0,ok,1,100,28417,99.691009521484375,87.741279602050781,18338.674266728969,0.010400000028312206,9.9691009521484375,1,-1,0,1,2,4241789249149535,4241789249153755,4241789249339511,1790063165296396992,4241789259308907,4241789259309246,4241789259309383,4241789259310656,0,0,4241789249145502,4241789259309228,4241789259312517,4241789259316239,4241789260059848,0.33900000000000002,nan,nan,nan,3.722,747.33100000000002,750.94100000000003,1790063165307113888,1790063165307113984,4241789260051175,4241789260042502,4241789260059848,18488,1735.5,1,3.6099999999999999,742.26800000000003,733.59500000000003,750.94100000000003,1,1,1,4241789260060036,4241789260060792,4241789337075649,69,104
live-handoff,serial-destroy,0,1,ok,1,100,28417,82.723167419433594,nan,nan,0.012256000190973282,8.2723167419433601,1,0,0,1,2,4241789430136482,4241789430139983,4241789430295051,1790063165477349504,4241789438567729,4241789438568093,4241789438568355,4241789438569046,4241789438569851,4241789595706567,4241789430132780,4241789595707342,4241789595713912,4241789595723129,4241789595827091,0.36399999999999999,157136.71599999999,157138.83799999999,7.3449999999999998,9.2170000000000005,113.179,157259.36199999999,1790063165642874272,1790063165642874336,4241789595817616,4241789595808821,4241789595826411,14520,3249,1,157146.18299999999,157249.88699999999,157241.092,157258.682,1,-1,0,0,0,0,74,119
live-handoff,idle,0,2,ok,1,100,28417,82.724128723144531,nan,nan,0.012640000320971012,0,0,-1,0,1,2,0,0,0,0,4241789838535308,4241789838535995,4241789838536373,4241789838540326,0,0,4241789838527956,4241789838535643,4241789838541240,4241789838547367,4241789838558594,0.68700000000000006,nan,nan,nan,6.1269999999999998,17.353999999999999,23.286000000000001,1790063165885600608,1790063165885600672,4241789838550462,4241789838543009,4241789838557915,14476,-550,1,5.9320000000000004,15.154,7.7009999999999996,22.606999999999999,0,0,1,4241789838558904,4241789838561102,0,0,134
calibration,a_with_idle_b,1,0,ok,1,100,34242,99.676383972167969,99.676383972167969,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
live-handoff,serial-destroy,1,0,ok,1,100,34242,99.677955627441406,nan,nan,0.011744000017642975,9.9677955627441417,1,0,0,1,2,4241790055347602,4241790055369758,4241790055499597,1790063166102541664,4241790065467739,4241790065468439,4241790065468714,4241790065469987,4241790065471379,4241790243536924,4241790055323603,4241790243538018,4241790243547055,4241790243552293,4241790243657527,0.69999999999999996,178065.54500000001,178069.185,10.131,5.2380000000000004,110.47199999999999,178189.788,1790063166290692224,1790063166290692288,4241790243648139,4241790243638877,4241790243657401,15693,3130,1,178079.31599999999,178180.39999999999,178171.13800000001,178189.66200000001,1,-1,0,0,0,0,91,149
live-handoff,idle,1,1,ok,1,100,34242,99.677474975585938,nan,nan,0.0099520003423094749,0,0,-1,0,1,2,0,0,0,0,4241790510802700,4241790510803168,4241790510803403,4241790510806590,0,0,4241790510795589,4241790510803109,4241790510808560,4241790510812919,4241790510823316,0.46800000000000003,nan,nan,nan,4.359,14.756,20.616,1790063166557852992,1790063166557853056,4241790510815938,4241790510808560,4241790510823316,19197,-536,1,5.8600000000000003,13.238,5.8600000000000003,20.616,0,0,1,4241790510823569,4241790510825915,0,0,164
live-handoff,live-handoff,1,2,ok,1,100,34242,99.677566528320312,100.08073425292969,19373.242429136579,0.0097599998116493225,9.9677566528320316,1,-1,0,1,2,4241790620651691,4241790620655183,4241790620809571,1790063166667840992,4241790630777611,4241790630778159,4241790630778218,4241790630778918,0,0,4241790620647441,4241790630778021,4241790630783818,4241790630788445,4241790631493928,0.54800000000000004,nan,nan,nan,4.6269999999999998,710.11000000000001,716.31700000000001,1790063166678521792,1790063166678521888,4241790631485601,4241790631477274,4241790631493928,18946,1644.5,1,6.2069999999999999,707.99000000000001,699.66300000000001,716.31700000000001,1,1,1,4241790631494166,4241790631494767,4241790720887264,100,179
calibration,a_only,0,0,ok,1,1000,342400,996.817626953125,996.817626953125,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
calibration,a_with_idle_b,0,0,ok,1,1000,342370,996.527099609375,996.527099609375,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
live-handoff,live-handoff,0,0,ok,1,1000,342370,996.5284423828125,996.92535400390625,19445.841194248573,0.0094400001689791679,99.652844238281261,1,-1,0,1,2,4241793994384226,4241793994395382,4241793994532823,1790063170041499072,4241794094185884,4241794094186510,4241794094186552,4241794094190388,0,0,4241793994370818,4241794094186198,4241794094190019,4241794094194217,4241794095436774,0.626,nan,nan,nan,4.1980000000000004,1246.7550000000001,1250.8900000000001,1790063170142398112,1790063170142398176,nan,nan,nan,18153,19496.5,0,4.1349999999999998,nan,nan,nan,1,1,1,4241794095436981,4241794095437713,4241794991474052,121,197
live-handoff,serial-destroy,0,1,ok,1,1000,342370,996.52862548828125,nan,nan,0.012415999546647072,99.652862548828125,1,0,0,1,2,4241795998490803,4241795998507342,4241795998645890,1790063172045573152,4241796098298942,4241796098299336,4241796098299449,4241796098301298,4241796098302007,4241797072435255,4241795998480156,4241797072436145,4241797072443241,4241797072454831,4241797072556864,0.39400000000000002,974133.24800000002,974136.31299999997,7.9859999999999998,11.59,113.623,974257.92200000002,1790063173119458976,1790063173119459040,nan,nan,nan,15017,20574.5,0,974144.299,nan,nan,nan,1,-1,0,0,0,0,126,212
live-handoff,idle,0,2,ok,1,1000,342370,996.52874755859375,nan,nan,0.011487999930977821,0,0,-1,0,1,2,0,0,0,0,4241798222068479,4241798222068884,4241798222068944,4241798222072075,0,0,4241798222062474,4241798222068781,4241798222074247,4241798222080419,4241798222090413,0.40500000000000003,nan,nan,nan,6.1719999999999997,16.166,21.934000000000001,1790063174268970752,1790063174268970816,4241798222082330,4241798222074247,4241798222090413,19158,577.5,1,5.7679999999999998,13.851000000000001,5.7679999999999998,21.934000000000001,0,0,1,4241798222090674,4241798222092679,0,0,227
calibration,a_with_idle_b,1,0,ok,1,1000,342444,996.7421875,996.7421875,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
live-handoff,serial-destroy,1,0,ok,1,1000,342444,996.74456787109375,nan,nan,0.011264000087976456,99.674456787109378,1,0,0,1,2,4241800233024773,4241800233044508,4241800233178640,1790063176280022880,4241800332853372,4241800332853832,4241800332853971,4241800332855111,4241800332855965,4241801308286113,4241800233011901,4241801308287000,4241801308298180,4241801308307447,4241801308407867,0.46000000000000002,975430.14800000004,975432.74100000004,12.067,9.2669999999999995,109.687,975554.495,1790063177355227328,1790063177355227392,nan,nan,nan,15042,20513,0,975444.80799999996,nan,nan,nan,1,-1,0,0,0,0,143,242
live-handoff,idle,1,1,ok,1,1000,342444,996.74407958984375,nan,nan,0.0093759996816515923,0,0,-1,0,1,2,0,0,0,0,4241802468589092,4241802468589361,4241802468589422,4241802468592455,0,0,4241802468584534,4241802468589454,4241802468594273,4241802468598734,4241802468608539,0.26900000000000002,nan,nan,nan,4.4610000000000003,14.266,19.446999999999999,1790063178515405344,1790063178515405408,4241802468601406,4241802468594273,4241802468608539,19156,306,1,5.181,12.314,5.181,19.446999999999999,0,0,1,4241802468608792,4241802468610798,0,0,257
live-handoff,live-handoff,1,2,ok,1,1000,342444,996.7442626953125,997.14764404296875,19445.708308107321,0.0096319997683167458,99.674426269531253,1,-1,0,1,2,4241803475576394,4241803475589820,4241803475732574,1790063179522512800,4241803575407136,4241803575407485,4241803575407511,4241803575409058,0,0,4241803475564455,4241803575407552,4241803575411568,4241803575414888,4241803576640758,0.34899999999999998,nan,nan,nan,3.3199999999999998,1229.1900000000001,1233.6220000000001,1790063179623416192,1790063179623416256,nan,nan,nan,19554,19142.5,0,4.4320000000000004,nan,nan,nan,1,1,1,4241803576640995,4241803576641558,4241804472903494,152,272
