experiment,condition,trial,order,status,valid,target_ms,iterations,reference_a_ms,a_event_ms,a_effective_gflops,b_event_ms,invalidate_delay_ms,a_pending_before_destroy,destroy_result,cpu_a,cpu_b,cpu_control,t_A_launch_ns,t_A_launch_return_ns,t_A_start_observed_ns,A_start_gpu_ns,t_invalidate_ns,t_invalidate_seen_ns,t_A_query_begin_ns,t_A_query_end_ns,t_destroy_begin_ns,t_destroy_return_ns,t_B_ready_ns,t_B_trigger_seen_ns,t_B_launch_ns,t_B_launch_return_ns,t_B_complete_ns,invalidate_dispatch_us,destroy_latency_us,invalidate_to_destroy_return_us,handoff_us,b_launch_api_us,b_request_us,b_takeover_us,B_start_gpu_ns,B_end_gpu_ns,t_B_start_est_ns,t_B_start_lower_ns,t_B_start_upper_ns,clock_bracket_ns,clock_offset_change_ns,start_est_valid
calibration,a_only,0,0,ok,1,10,1857,9.9717121124267578,9.9717121124267578,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,0,0,ok,1,10,1857,9.9717121124267578,9.9727363586425781,10543.65625908436,nan,nan,-1,-1,0,-1,-1,4237853025526306,4237853025528250,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,0,1,ok,1,10,1857,9.9717121124267578,9.9727363586425781,10543.65625908436,nan,nan,-1,-1,0,-1,-1,4237853227167903,4237853227169884,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,1,0,ok,1,10,1857,9.9717121124267578,9.9717121124267578,10544.739252646803,nan,nan,-1,-1,0,-1,-1,4237853253810561,4237853253812397,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,1,1,ok,1,10,1857,9.9717121124267578,9.9717121124267578,10544.739252646803,nan,nan,-1,-1,0,-1,-1,4237853389951550,4237853389953474,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
takeover,b_with_idle_a,0,0,ok,1,10,1857,9.9717121124267578,nan,nan,0.0081919999793171883,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4237853580949853,4237853580953055,4237853581233052,nan,nan,nan,nan,3.202,283.19900000000001,nan,1790059229702052864,1790059229702052864,nan,nan,nan,nan,nan,0
takeover,destroy,0,0,ok,1,10,1857,9.9717121124267578,nan,nan,0.01228800043463707,1,1,0,0,1,2,4237853581513649,4237853581515721,4237853581792436,1790059229702616064,4237853582792822,4237853582793233,4237853582793337,4237853582794351,4237853582795274,4237853705604508,4237853581507179,4237853705605047,4237853705607512,4237853705610277,4237853705798731,0.41099999999999998,122809.234,122811.686,3.004,2.7650000000000001,191.21899999999999,123005.909,1790059229826615296,1790059229826616320,4237853705787475,4237853705777256,4237853705797694,18298,2811.5,1
takeover,b_with_idle_a,1,0,ok,1,10,1857,9.9717121124267578,nan,nan,0.011264000087976456,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4237853893263212,4237853893272529,4237853893551548,nan,nan,nan,nan,9.3170000000000002,288.33600000000001,nan,1790059230014365696,1790059230014365696,nan,nan,nan,nan,nan,0
takeover,destroy,1,0,ok,1,10,1857,9.9717121124267578,nan,nan,0.010239999741315842,1,1,0,0,1,2,4237853893881865,4237853893885233,4237853894162040,1790059230014980096,4237853895162428,4237853895162802,4237853895162893,4237853895163716,4237853895164489,4237854011813602,4237853893872553,4237854011814152,4237854011817391,4237854011821814,4237854011975281,0.374,116649.113,116651.174,3.7890000000000001,4.423,157.88999999999999,116812.853,1790059230132787200,1790059230132787200,4237854011965044.5,4237854011955719,4237854011974370,17076,1970,1
