experiment,condition,trial,order,status,valid,target_ms,iterations,reference_a_ms,a_event_ms,a_effective_gflops,b_event_ms,invalidate_delay_ms,a_pending_before_destroy,destroy_result,cpu_a,cpu_b,cpu_control,t_A_launch_ns,t_A_launch_return_ns,t_A_start_observed_ns,A_start_gpu_ns,t_invalidate_ns,t_invalidate_seen_ns,t_A_query_begin_ns,t_A_query_end_ns,t_destroy_begin_ns,t_destroy_return_ns,t_B_ready_ns,t_B_trigger_seen_ns,t_B_launch_ns,t_B_launch_return_ns,t_B_complete_ns,invalidate_dispatch_us,destroy_latency_us,invalidate_to_destroy_return_us,handoff_us,b_launch_api_us,b_request_us,b_takeover_us,B_start_gpu_ns,B_end_gpu_ns,t_B_start_est_ns,t_B_start_lower_ns,t_B_start_upper_ns,clock_bracket_ns,clock_offset_change_ns,start_est_valid,invalidate_to_b_launch_us,invalidate_to_b_gpu_start_est_us,invalidate_to_b_gpu_start_lower_us,invalidate_to_b_gpu_start_upper_us,a_pending_after_invalidate,a_event_pending_after_b_complete,a_context_alive_after_b_complete,t_A_post_B_query_begin_ns,t_A_post_B_query_end_ns,t_A_complete_observed_ns,a_launch_seq,b_launch_seq
calibration,a_only,0,0,ok,1,10,1857,9.973759651184082,9.973759651184082,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,0
standby,a_only,0,0,ok,1,10,1857,9.973759651184082,9.9727363586425781,10543.65625908436,nan,nan,-1,-1,0,-1,-1,4241893566326731,4241893566329571,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,4241893576309415,11,0
standby,a_with_idle_b,0,1,ok,1,10,1857,9.973759651184082,9.973759651184082,10542.574496019335,nan,nan,-1,-1,0,-1,-1,4241893790677123,4241893790680242,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,4241893800660554,15,0
takeover,b_with_idle_a,0,0,ok,1,10,1857,9.973759651184082,nan,nan,0.0092160003259778023,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4241893817357246,4241893817365579,4241893817647059,nan,nan,nan,nan,8.3330000000000002,289.81299999999999,nan,1790063269862659072,1790063269862659072,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,4
takeover,destroy,0,0,ok,1,10,1857,9.973759651184082,nan,nan,0.01228800043463707,1,1,0,0,1,2,4241893817717033,4241893817720119,4241893818002450,1790063269863018496,4241893819002862,4241893819003437,4241893819003638,4241893819004705,4241893819006025,4241893953996920,4241893817713773,4241893953998131,4241893954002406,4241893954007023,4241893954199971,0.57499999999999996,134990.89499999999,134994.05799999999,5.4859999999999998,4.617,197.565,135197.109,1790063269999209472,1790063269999209472,nan,nan,nan,nan,nan,0,134999.54399999999,nan,nan,nan,1,-1,0,0,0,0,19,5
takeover,b_with_idle_a,0,1,ok,1,10,1857,9.973759651184082,nan,nan,0.01228800043463707,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4241894170218677,4241894170237529,4241894170515537,nan,nan,nan,nan,18.852,296.86000000000001,nan,1790063270215519232,1790063270215519232,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,-1,-1,-1,0,0,0,0,6
takeover,wait-then-destroy,0,1,ok,1,10,1857,9.973759651184082,nan,nan,0.011264000087976456,1,1,0,0,1,2,4241894170624964,4241894170639391,4241894170912072,1790063270215921664,4241894171912365,4241894171913114,4241894171913315,4241894171914598,4241894180882295,4241894299231253,4241894170618154,4241894299232909,4241894299245199,4241894299261550,4241894299416311,0.749,118348.958,127318.88800000001,13.946,16.350999999999999,171.11199999999999,127503.946,1790063270344418304,1790063270344418304,nan,nan,nan,nan,nan,0,127332.834,nan,nan,nan,1,-1,0,0,0,0,23,7
