round,phase,channel_ordinal,read_begin_rel_ns,read_end_rel_ns,get_first,put_first,get_second,put_second,repeated_values_equal,gpfifo_entries,api_begin_rel_ns,api_end_rel_ns,api_result
9,after_begin_event,2,-84827,-80103,1,1,1,1,True,1024,-108017,-96876,0
9,after_begin_event,3,-79628,-74447,1,1,1,1,True,1024,-108017,-96876,0
9,after_begin_event,4,-74082,-68780,1,1,1,1,True,1024,-108017,-96876,0
9,after_begin_event,5,-68476,-63657,1,1,1,1,True,1024,-108017,-96876,0
9,after_begin_event,6,-63354,-58403,1,1,1,1,True,1024,-108017,-96876,0
9,after_begin_event,7,-58101,-52985,1,1,1,1,True,1024,-108017,-96876,0
10,before_launch,0,-48079,-43128,122,122,122,122,True,1024,,,0
10,before_launch,1,-42744,-37800,4,5,4,5,True,1024,,,0
10,before_launch,2,-37463,-32690,1,1,1,1,True,1024,,,0
10,before_launch,3,-32359,-27180,1,1,1,1,True,1024,,,0
10,before_launch,4,-26716,-21506,1,1,1,1,True,1024,,,0
10,before_launch,5,-21175,-16368,1,1,1,1,True,1024,,,0
10,before_launch,6,-16065,-11093,1,1,1,1,True,1024,,,0
10,before_launch,7,-10790,-5668,1,1,1,1,True,1024,,,0
11,after_launch,0,19280,24223,122,122,122,122,True,1024,0,18409,0
11,after_launch,1,24565,37837,5,6,5,6,True,1024,0,18409,0
11,after_launch,2,38516,43277,1,1,1,1,True,1024,0,18409,0
11,after_launch,3,43598,48780,1,1,1,1,True,1024,0,18409,0
11,after_launch,4,49217,54425,1,1,1,1,True,1024,0,18409,0
11,after_launch,5,54736,59552,1,1,1,1,True,1024,0,18409,0
11,after_launch,6,59864,64897,1,1,1,1,True,1024,0,18409,0
11,after_launch,7,65210,70345,1,1,1,1,True,1024,0,18409,0
12,launch_no_api,0,74666,79625,122,122,122,122,True,1024,,,-1
12,launch_no_api,1,79983,84887,5,6,5,6,True,1024,,,-1
12,launch_no_api,2,85205,89937,1,1,1,1,True,1024,,,-1
12,launch_no_api,3,90246,95442,1,1,1,1,True,1024,,,-1
12,launch_no_api,4,95841,101037,1,1,1,1,True,1024,,,-1
12,launch_no_api,5,101360,106165,1,1,1,1,True,1024,,,-1
12,launch_no_api,6,106470,111440,1,1,1,1,True,1024,,,-1
12,launch_no_api,7,111743,116852,1,1,1,1,True,1024,,,-1
13,launch_no_api,0,273353,278303,122,122,122,122,True,1024,,,-1
13,launch_no_api,1,278676,283657,6,6,6,6,True,1024,,,-1
13,launch_no_api,2,283979,288717,1,1,1,1,True,1024,,,-1
13,launch_no_api,3,289030,294223,1,1,1,1,True,1024,,,-1
13,launch_no_api,4,294645,299855,1,1,1,1,True,1024,,,-1
13,launch_no_api,5,300167,304993,1,1,1,1,True,1024,,,-1
13,launch_no_api,6,305304,310277,1,1,1,1,True,1024,,,-1
13,launch_no_api,7,310588,315703,1,1,1,1,True,1024,,,-1
14,launch_no_api,0,479632,484573,122,122,122,122,True,1024,,,-1
14,launch_no_api,1,484955,489900,6,6,6,6,True,1024,,,-1
14,launch_no_api,2,490225,494967,1,1,1,1,True,1024,,,-1
14,launch_no_api,3,495283,500473,1,1,1,1,True,1024,,,-1
14,launch_no_api,4,500898,506097,1,1,1,1,True,1024,,,-1
14,launch_no_api,5,506407,511232,1,1,1,1,True,1024,,,-1
14,launch_no_api,6,511543,516517,1,1,1,1,True,1024,,,-1
14,launch_no_api,7,516827,521935,1,1,1,1,True,1024,,,-1
15,launch_no_api,0,677882,682823,122,122,122,122,True,1024,,,-1
15,launch_no_api,1,683190,688110,6,6,6,6,True,1024,,,-1
15,launch_no_api,2,688436,693197,1,1,1,1,True,1024,,,-1
15,launch_no_api,3,693510,698712,1,1,1,1,True,1024,,,-1
15,launch_no_api,4,699136,704337,1,1,1,1,True,1024,,,-1
15,launch_no_api,5,704648,709465,1,1,1,1,True,1024,,,-1
15,launch_no_api,6,709776,714738,1,1,1,1,True,1024,,,-1
15,launch_no_api,7,715047,720173,1,1,1,1,True,1024,,,-1
16,launch_no_api,0,876690,881614,122,122,122,122,True,1024,,,-1
16,launch_no_api,1,881980,886896,6,6,6,6,True,1024,,,-1
16,launch_no_api,2,887220,891977,1,1,1,1,True,1024,,,-1
16,launch_no_api,3,892287,897463,1,1,1,1,True,1024,,,-1
16,launch_no_api,4,897882,903077,1,1,1,1,True,1024,,,-1
16,launch_no_api,5,903387,908193,1,1,1,1,True,1024,,,-1
16,launch_no_api,6,908503,913487,1,1,1,1,True,1024,,,-1
16,launch_no_api,7,913797,918924,1,1,1,1,True,1024,,,-1
17,launch_no_api,0,1075046,1079993,122,122,122,122,True,1024,,,-1
17,launch_no_api,1,1080357,1085280,6,6,6,6,True,1024,,,-1
17,launch_no_api,2,1085598,1090347,1,1,1,1,True,1024,,,-1
17,launch_no_api,3,1090659,1095853,1,1,1,1,True,1024,,,-1
17,launch_no_api,4,1096275,1101467,1,1,1,1,True,1024,,,-1
17,launch_no_api,5,1101777,1106604,1,1,1,1,True,1024,,,-1
17,launch_no_api,6,1106915,1111867,1,1,1,1,True,1024,,,-1
17,launch_no_api,7,1112177,1117284,1,1,1,1,True,1024,,,-1
18,launch_no_api,0,2466759,2471705,122,122,122,122,True,1024,,,-1
18,launch_no_api,1,2472216,2477387,6,6,6,6,True,1024,,,-1
18,launch_no_api,2,2477956,2482797,1,1,1,1,True,1024,,,-1
18,launch_no_api,3,2483309,2488512,1,1,1,1,True,1024,,,-1
18,launch_no_api,4,2489444,2494647,1,1,1,1,True,1024,,,-1
18,launch_no_api,5,2494973,2499872,1,1,1,1,True,1024,,,-1
18,launch_no_api,6,2500183,2505149,1,1,1,1,True,1024,,,-1
18,launch_no_api,7,2505456,2510583,1,1,1,1,True,1024,,,-1
19,launch_no_api,0,2673395,2678345,122,122,122,122,True,1024,,,-1
19,launch_no_api,1,2678709,2683657,6,6,6,6,True,1024,,,-1
19,launch_no_api,2,2683970,2688736,1,1,1,1,True,1024,,,-1
19,launch_no_api,3,2689043,2694223,1,1,1,1,True,1024,,,-1
19,launch_no_api,4,2694636,2699825,1,1,1,1,True,1024,,,-1
19,launch_no_api,5,2700128,2704952,1,1,1,1,True,1024,,,-1
19,launch_no_api,6,2705258,2710229,1,1,1,1,True,1024,,,-1
19,launch_no_api,7,2710533,2715663,1,1,1,1,True,1024,,,-1
20,after_end_event,0,2880319,2885532,122,122,122,122,True,1024,2871690,2879145,0
20,after_end_event,1,2885873,2890807,7,7,7,7,True,1024,2871690,2879145,0
20,after_end_event,2,2891119,2895866,1,1,1,1,True,1024,2871690,2879145,0
20,after_end_event,3,2896208,2901403,1,1,1,1,True,1024,2871690,2879145,0
20,after_end_event,4,2901856,2907048,1,1,1,1,True,1024,2871690,2879145,0
20,after_end_event,5,2907351,2912185,1,1,1,1,True,1024,2871690,2879145,0
20,after_end_event,6,2912488,2917457,1,1,1,1,True,1024,2871690,2879145,0
20,after_end_event,7,2917780,2922903,1,1,1,1,True,1024,2871690,2879145,0
21,event_query,0,2938175,2943133,122,122,122,122,True,1024,2931039,2937387,0
21,event_query,1,2943520,2948447,7,7,7,7,True,1024,2931039,2937387,0
