launch_index,channel_ordinal,ring_entries,slot_index,put_before,put_after,put_delta_mod,changed_slot_count,ring_before_sha256,ring_after_sha256,entry_before_sha256,entry_after_sha256,api_begin_rel_ns,api_end_rel_ns,pre_read_begin_rel_ns,pre_read_end_rel_ns,post_read_begin_rel_ns,post_read_end_rel_ns,no_api_get_values,unique_entry_binding
1,1,1024,7,7,8,1,1,5b3512345f799679cce264420267c2bc01cf04cb8c3d0cbc68f4496883523507,a9fef93810438bb1fbf457adfdd0880ce46d33a4fef2cf83da40aa30d48f983c,af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc,d8ce58d45f33c76ce147e8102cad006c8a6f871fa17e69dc1804afd80edb38ae,0,22920,-3136078,-88170,24105,3100602,8,True
2,1,1024,8,8,9,1,1,a9fef93810438bb1fbf457adfdd0880ce46d33a4fef2cf83da40aa30d48f983c,a68024baa4eecd4fa64603af48eaba0cf82b2114cd82bb2b15a61d1ef996cdf7,af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc,567b2a5bee09d8d463d2341c6a10e5d17389e4b5c4f041f2df8ef1179a197033,11239209,11251704,8105965,11151517,11252654,14288324,9,True
